Team,Opponent,Shots,Shots on Target,Possession,Passes,Pass accuracy,Fouls,Yellow Cards,Red Cards,OffSides,Corners,Goals For,Goals against,Result,Stage,Extra Time,For Goal Extra,Against Goal Extra,Tie braker
Tunisia,France,5,3,34,312,77,14,1,0,3,7,1,0,Won,Group,NO,NA,NA,NA
France,Tunisia,10,3,66,622,85,6,0,0,2,8,0,1,Lost,Group,NO,NA,NA,NA
Australia,Denmark,8,4,31,304,64,11,2,0,1,2,1,0,Won,Group,NO,NA,NA,NA
Denmark,Australia,13,3,69,664,82,10,1,0,3,6,0,1,Lost,Group,NO,NA,NA,NA
Poland,Argentina,4,0,26,317,77,6,1,0,0,1,0,2,Lost,Group,NO,NA,NA,NA
Argentina,Poland,23,12,74,868,92,11,1,0,1,9,2,0,Won,Group,NO,NA,NA,NA
Saudi Arabia,Mexico,10,2,39,287,57,20,6,0,2,1,1,2,Lost,Group,NO,NA,NA,NA
Mexico,Saudi Arabia,26,11,61,426,75,18,1,0,6,8,2,1,Won,Group,NO,NA,NA,NA
Croatia,Belgium,11,4,48,554,85,7,0,0,4,2,0,0,Draw,Group,NO,NA,NA,NA
Belgium,Croatia,16,3,52,593,87,9,1,0,0,4,0,0,Draw,Group,NO,NA,NA,NA
Cannada,Morocco,5,0,59,524,86,14,4,0,4,6,1,2,Lost,Group,NO,NA,NA,NA
Morocco,Cannada,6,2,41,373,79,14,0,0,4,2,2,1,Won,Group,NO,NA,NA,NA
Japan,Spain,6,3,17,228,67,9,3,0,2,0,2,1,Won,Group,NO,NA,NA,NA
Spain,Japan,12,5,83,1058,91,6,0,0,2,2,1,2,Lost,Group,NO,NA,NA,NA
Costa Rica,Germany,7,5,31,337,74,3,1,0,4,1,2,4,Lost,Group,NO,NA,NA,NA
Germany,Costa Rica,32,11,69,713,89,9,0,0,3,14,4,2,Won,Group,NO,NA,NA,NA
South Korea,Portugal,13,6,38,357,78,9,2,0,1,5,2,1,Won,Group,NO,NA,NA,NA
Portugal,South Korea,13,6,62,574,87,10,0,0,5,4,1,2,Lost,Group,NO,NA,NA,NA
Ghana,Uruguay,10,4,51,432,79,18,2,0,2,5,0,2,Lost,Group,NO,NA,NA,NA
Uruguay,Ghana,12,7,49,433,77,11,5,0,2,2,2,0,Won,Group,NO,NA,NA,NA
Serbia,Switzerland,12,4,54,466,77,18,7,0,0,2,2,3,Lost,Group,NO,NA,NA,NA
Switzerland,Serbia,14,7,46,415,76,14,4,0,0,0,3,2,Won,Group,NO,NA,NA,NA
Camaroon,Brazil,7,3,35,299,77,14,3,1,0,3,1,0,Won,Group,NO,NA,NA,NA
Brazil,Camaroon,21,7,65,541,87,14,2,0,1,11,0,1,Lost,Group,NO,NA,NA,NA
Netherlands,USA,11,6,41,414,76,10,2,0,0,4,3,1,Won,R16,NO,NA,NA,NA
USA,Netherlands,17,8,59,569,83,5,0,0,3,5,1,3,Lost,R16,NO,NA,NA,NA
Argentina,Australia,14,5,61,695,87,8,0,0,3,1,2,1,Won,R16,NO,NA,NA,NA
Australia,Argentina,5,1,39,435,82,15,2,0,0,3,1,2,Lost,R16,NO,NA,NA,NA
France,Poland,16,8,55,551,86,10,1,0,3,7,3,1,Won,R16,NO,NA,NA,NA
Poland,France,12,3,45,456,82,8,2,0,1,1,1,3,Lost,R16,NO,NA,NA,NA
England,Senegal,8,4,62,589,85,16,0,0,0,3,3,0,Won,R16,NO,NA,NA,NA
Senegal,England,10,1,38,369,80,12,1,0,0,3,0,3,Lost,R16,NO,NA,NA,NA
Japan,Croatia,13,4,41,524,75,13,0,0,3,8,1,1,Lost,R16,YES,0,0,1-3
Croatia,Japan,17,4,59,725,83,16,2,0,0,5,1,1,Won,R16,YES,0,0,3-1
Brazil,South Korea,18,9,54,609,89,8,0,0,0,5,4,1,Won,R16,NO,NA,NA,NA
South Korea,Brazil,8,6,46,530,86,13,1,0,5,4,1,4,Lost,R16,NO,NA,NA,NA
Portugal,Switzerland,15,9,47,449,82,12,0,0,3,6,6,1,Won,R16,NO,NA,NA,NA
Switzerland,Portugal,10,3,53,488,84,10,2,0,3,6,1,6,Lost,R16,NO,NA,NA,NA
Morocco,Spain,6,2,23,305,70,15,1,0,5,0,0,0,Won,R16,YES,0,0,3-0
Spain,Morocco,13,1,77,1019,90,14,1,0,4,8,0,0,Lost,R16,YES,0,0,0-3
Croatia,Brazil,9,1,51,694,88,22,2,0,3,3,0,0,Won,QF,YES,1,1,4-2
Brazil,Croatia,21,11,49,684,89,24,3,0,3,7,0,0,Lost,QF,YES,1,1,2-4
Netherlands,Argentina,6,2,52,634,83,30,6,1,1,2,2,2,Lost,QF,YES,0,0,2-4
Argentina,Netherlands,14,5,48,602,82,18,8,0,2,8,2,2,Won,QF,YES,0,0,4-2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
